model_id,print_round,validation_label,validation_pf,notes,volume,surface_area,fill_fraction,slenderness_ratio,plane_face_ratio,cylindrical_face_ratio,bspline_face_ratio,compactness,area_volume_ratio,bbox_x,bbox_y,bbox_z
107743_e0c2c81f,1,1,P,,2826833044203.3800,3553355473.176780,0.8315590739103110,512863.9472493890,1.0,0.0,0.0,0.0201435830928042,0.0012570093166496,53340.0000002,2133.6000002,29870.400000200000
41321_43c99300,1,1,P,,2853.342488811490,4804.8678583514400,0.3874110397925600,3130.4882725663000,0.5,0.5,0.0,0.0083007213537411,1.6839436125148800,8.2042002,109.4232002,8.2042002
138219_cdff4f61,1,0,F,,26733.41758014270,15147.704849981500,0.051163148228667,11782.289428688600,0.975609756097561,0.024390243902439,0.0,0.0232552404695174,0.5666205902994250,70.0330087889911,80.00000020000000,93.261940781426
41982_f75ceb8f,1,0,F,,72257.34952663080,12195.826092811500,0.7929475819218310,7800.314405780770,0.8333333333333330,0.1666666666666670,0.0,0.325523809377597,0.1687831919203830,90.00000020000000,22.5000002,45.0000002
27577_8520e14a,1,1,P,,9979721.976,755159.7800000000,0.999999992433058,13208.53234571570,1.0,0.0,0.0,0.0261560828679763,0.0756694206327657,2946.4000002,88.9000002,38.1000002
41941_79d46bb4,1,0,F,,1329.0755119689300,1267.0631174593600,0.8213557019047370,1109.4472775731500,0.75,0.0,0.25,0.0982102774396139,0.953341707110605,21.62025150458500,2.5400002,29.46618338171600
23881_bec7f38c,1,1,P,,22704.290107493500,15758.228750406400,0.2399827688252560,15724.448452611400,0.5,0.5,0.0,0.0148986194316691,0.6940639269406390,36.0000002,36.0000002,73.00000020000000
23881_bec7f38c,1,1,P,,22704.290107493500,15758.228750406400,0.2399827688252560,15724.448452611400,0.5,0.5,0.0,0.0148986194316691,0.6940639269406390,36.0000002,36.0000002,73.00000020000000
90114_99894f36,1,0,F,,319032.2888012030,75624.78486595380,0.2357654194958620,30285.34327443970,0.6363636363636360,0.1818181818181820,0.1818181818181820,0.0266151670318273,0.2370442977735010,135.317676446046,100.0000002,100.0000002
99094_559fbfc2,1,0,F,,10344.314721506500,8790.570124221110,0.6322654331764990,545.5904504698710,1.0,0.0,0.0,0.0178157740404501,0.8497972423388210,155.03174325165500,3.5000002,30.15182380965240
22645_1ba0af00,1,0,F,,1207168.5240152800,125778.97634595900,0.2710836318577110,29866.51406726670,0.8333333333333330,0.1666666666666670,0.0,0.0828254896093026,0.1041933862950580,205.0000002,144.816979971956,150.0000002
34526_3ea355a5,1,1,P,,1054.055016946910,757.2069688158550,0.7853981069758110,2201.284942660660,0.6666666666666670,0.3333333333333330,0.0,0.2894243896246530,0.7183751859643130,4.0000002,18.317099655858900,18.317099655858900
23364_73dd9d4d,1,1,P,,89989195.34055520,9197910.062522160,0.2296201624993340,58087.1744216172,0.912280701754386,0.0350877192982456,0.0175438596491228,0.0011769706534651,0.1022112713388930,715.0074365775940,1260.007436577590,435.0074365775940
41868_002280d0,1,1,P,,154.67564547074500,385.9162662462320,0.585892505336494,721.1248332286900,0.7142857142857140,0.2857142857142860,0.0,0.0470778905119652,2.495003431676140,22.00000052782550,4.000000259604650,3.0000002
34678_f709cdcc,1,0,F,,15.399425890723700,58.86354248944780,0.4462810450691600,614.2070870316190,0.8888888888888890,0.1111111111111110,0.0,0.131498938992892,3.8224504541371200,4.32000020000001,2.1350002000000000,3.741229944348810
61840_0735b513,1,1,P,,241833.43033553400,41985.605502217500,0.3052990503085550,11776.166683130100,0.4193548387096770,0.5806451612903230,0.0,0.0893683590248328,0.1736137367111080,176.27222752025100,64.19614495361820,70.00000020000000
21732_adaf1650,1,0,F,,11988.317566098600,4222.300526424680,0.785398135735575,6603.854607853500,0.6666666666666670,0.3333333333333330,0.0,0.2159341973396500,0.3522012578616350,12.0000002,12.0000002,106.0000002
73388_10a40b49,1,1,P,,1.391775762432250,19.30887791485540,0.4547499211474920,78.62232918431270,0.5,0.5,0.0,0.0304312506876232,13.873555235012500,4.123460364660380,0.1800001999999990,4.123460364660380
45906_f3f016af,1,1,P,,2706152.09263366,350837.3777145330,0.2219093282217340,36056.2393057602,0.7777777777777780,0.0,0.0,0.0191795850703436,0.129644367982693,150.0000002,400.0000002,203.24758384862900
23630_84ec484d,1,1,P,,43568.82237088410,30421.46271593440,0.1417942190776630,4705.839245717690,0.1045454545454550,0.0363636363636363,0.8590909090909090,0.0076254195037425,0.6982392697458880,50.80002987683050,79.37502987683050,76.20253637026510
24476_568e9ca0,1,1,P,,132.05330515210100,280.39786315832600,0.3237904644808220,460.35417725946900,0.8823529411764710,0.1176470588235290,0.0,0.08945957398543,2.123368762602050,28.5001775168148,7.15496669683765,2.000000200000000
35166_562b126c,1,0,F,,339.1447444320610,565.5848524165870,0.3588121025504000,965.4894489715890,0.5,0.5,0.0,0.0719000591141568,1.6676798378926000,17.7500002,3.0000002,17.7500002
134926_635bdb3a,1,0,F,,239090.03877082800,34658.96426930890,0.4012313533024970,13085.92740812870,1.0,0.0,0.0,0.1552846749598650,0.1449619751934970,80.00000020000000,98.66695270697540,75.4926927257901
128996_be3a6361,1,1,P,,653.451271946677,678.5840131753950,0.7853980818359320,2201.284942660660,0.6666666666666670,0.3333333333333330,0.0,0.1545496113397350,1.0384615384615400,4.0000002,52.0000002,4.0000002
33529_756075a0,1,0,F,,10050000.0,491868.3298050510,0.3722222214364200,51087.29554399080,1.0,0.0,0.0,0.0959926356260974,0.0489421223686618,300.00000020000000,450.0000002,200.00000020000000
23662_88a30d39,1,1,P,,43535.35106324630,30482.810725223100,0.1416370976821390,5101.23933404085,0.3519553072625700,0.0502793296089385,0.5977653631284920,0.0075678313795017,0.7001852513130990,50.8075220835142,79.3825220835142,76.21002857694880
21822_7d3db422,1,0,F,,350.4839304161110,954.6514676095980,0.4005530289991230,2183.951249198790,0.5,0.5,0.0,0.0159681300424555,2.723809523809520,5.000000200000000,35.0000002,5.0000002
22276_69c5036b,1,0,F,,17855.097456106600,5714.3893421169300,0.7529983555654640,3577.0879080013,0.8,0.2,0.0,0.1932267912959440,0.320042461608774,32.0000002,13.0000002,57.0000002
23255_972fbfe6,1,1,P,,54674.16813008450,16739.45995442350,0.6577982155976900,3915.085602343410,0.3333333333333330,0.6666666666666670,0.0,0.0720762881926517,0.3061676204125480,46.0000002,160.0000002,11.293061055393000
39793_5193d5ab,1,0,F,,3936.736078125,2475.8015,0.8367346474444030,1144.7856445064900,1.0,0.0,0.0,0.1154988098077000,0.6288969976313940,22.225000200000000,4.762500200000000,44.450000200000000
41896_7d8659e6,1,1,P,,16493.36143134640,33118.6697541436,0.1363087695724980,9609.385199457340,0.5,0.5,0.0,0.000846938883273,2.0080000000000000,22.0000002,22.0000002,250.0000002
24603_a4021250,1,1,P,,268099.1118430780,268992.77554922100,0.1241199583177700,13103.707014723500,0.5555555555555560,0.4444444444444440,0.0,0.0004176584530515,1.0033333333333300,600.0000002000000,60.0000002,60.00000020000000
31744_086479d0,1,0,F,,67090.00252492400,9740.954874983390,0.4219634901383200,9654.893910422260,0.8888888888888890,0.1111111111111110,0.0,0.5507612735036240,0.1451923462272140,91.4063368982044,57.98095573693480,30.0000002
42811_4743cfd2,1,1,P,,1536.2637836105900,1452.6560571108600,0.321956279427514,964.597271030341,0.8571428571428570,0.1428571428571430,0.0,0.0870754165055475,0.9455772326395450,18.01288635846030,66.01288635846030,4.012886358460450
30418_de83ae84,1,0,F,,0.5595595215501270,8.58826549177214,0.5594964946583970,129.16975827958900,0.6363636363636360,0.3636363636363640,0.0,0.055902157493821,15.348260839133600,0.5000560991276540,4.000000200000000,0.5000002
91573_272066be,1,1,P,,165000.0,20600.0,0.9999999875151460,10400.419184595600,1.0,0.0,0.0,0.352223720996113,0.1248484848484850,30.0000002,110.0000002,50.0000002
115430_67c93e4d,1,0,F,,10244.14732172930,5937.18543796019,0.2385117183238230,928.813435451754,0.2857142857142860,0.7142857142857140,0.0,0.0567103285800977,0.5795685332801290,85.90057386544740,5.000000200000000,100.0000016901160
30445_791b6800,1,0,F,,883.5729338221300,746.128255227576,0.7853980970742450,2751.6061508097600,0.6666666666666670,0.3333333333333330,0.0,0.2125674296544690,0.8444444444444440,45.0000002,5.000000200000000,5.000000199999990
119904_87c09b29,1,0,F,,564758.710258282,1041541.1606244100,0.0394699952499334,14500.418762400600,1.0,0.0,0.0,3.19263254551991E-05,1.844223279262190,281.1270090580590,363.5509164920860,140.0000038743410
43866_908e0b9a,1,1,P,,7.853981633974480,47.123889803846900,0.4363321093526790,218.39520354212100,0.5,0.5,0.0,0.0666666666666666,6.0,6.0000002,6.0000002,0.5000002000000000
30417_0010bc7c,1,0,F,,369500.2805598480,34408.617549925000,0.598966888885742,20713.305033469300,0.75,0.25,0.0,0.3790358130431900,0.0931220336227913,119.0000002,72.00000020000000,72.00000020000000
21339_4c044144,1,1,P,,9348.90389089863,5858.359407433610,0.6243263455479990,888.8531604156530,0.8571428571428570,0.1428571428571430,0.0,0.0491638322330876,0.6266359645794250,65.00000020000000,5.000000200000000,46.075032860332600
39390_61cd2601,1,0,F,,1699.8522273149500,1093.6947563760000,0.5798043332937600,3442.279234106410,0.7142857142857140,0.2857142857142860,0.0,0.2497964838625910,0.6434057848096490,15.0220002,15.0000002,13.0110002
27070_53448c4a,1,0,F,,2327.65544516472,1699.0282873618100,0.545147049584758,2252.8086284457600,0.8571428571428570,0.1428571428571430,0.0,0.1249360962923930,0.7299311807042700,15.0000002,7.000000200000000,40.66452562613400
31460_39fdfc6a,1,1,P,,33920.33477868120,15375.532499848100,0.1502228521992980,6491.145953571990,0.7894736842105260,0.2105263157894740,0.0,0.0357999266197409,0.4532836306058980,95.0000002,59.42107805182410,40.0000002
139787_fca785f0,1,0,F,,942.477796076938,816.8140899333460,0.7853980953289580,1650.9637345115500,0.6666666666666670,0.3333333333333330,0.0,0.184342284934001,0.8666666666666660,20.0000002,20.0000002,3.0000002
34520_035b5e9a,1,1,P,,1132.7640631048700,1656.3104788256100,0.1580306942774100,3057.5317139350900,0.5,0.5,0.0,0.0319378774566128,1.4621848739495800,32.0000002,7.000000200000000,32.0000002
41648_577daf16,1,0,F,,21807.36454858330,24553.65523667040,0.1919662332489300,6436.595961736820,0.5454545454545450,0.4545454545454550,0.0,0.0036333754729185,1.125934093593420,20.0000002,284.00000020000000,20.0000002
104542_2e4f8127,1,1,P,,165.67293623491500,251.78570226844600,0.5496397661199430,1028.281742539180,0.7777777777777780,0.2222222222222220,0.0,0.1944743449827610,1.5197756977725600,21.427982756358400,4.000000200000000,3.5166740922976100
24504_493cee15,1,0,F,,10885.470248628100,3265.667210196040,0.4463735553621480,10392.373071045200,0.6666666666666670,0.0,0.3333333333333330,0.3847963881611200,0.30000240096266,24.953984597136700,51.7500002,18.88419511579030
140760_c36e4bec,1,0,F,,97389.3722612836,15865.042900628500,0.3246312377328420,21839.51170576550,0.6,0.4,0.0,0.2686282940616380,0.1629032258064520,50.0000002,50.0000002,120.0000002
42230_49452475,1,0,F,,46406.37733441030,12903.522142531000,0.2148597967225010,4054.80137093028,0.8125,0.09375,0.09375,0.1133660182592830,0.2780549330439330,129.77910264287900,83.2123408943105,20.0000002
115430_11599f38,1,0,F,,8604.855895809540,5908.227042938840,0.5843875498681740,578.838442556511,0.5263157894736840,0.4561403508771930,0.0175438596491228,0.0406039279389382,0.6866154546313880,60.00001861986600,4.000018619866010,61.352074009500700
41759_f26a9c8c,1,0,F,,87.36586775319440,130.32353538278400,0.907697244845813,721.8269931397480,0.8888888888888890,0.1111111111111110,0.0,0.3900025121752480,1.4916985172166200,5.0000000882413,3.5000002,5.5000000882413
121265_61ecb972,1,0,F,,301840.93330209800,56433.50875890810,0.379039415024242,13757.475836637800,0.5,0.5,0.0,0.057332051633084,0.1869643992335080,123.7500002,52.0000002,123.7500002
26768_c4df841f,1,0,F,,162353.34170780500,31819.660746570400,0.3436049533337790,15983.489959537400,0.4285714285714290,0.5714285714285710,0.0,0.0925312017685596,0.1959901805029530,90.0000002,70.00000020000000,75.00000020000000
128996_2033836a,1,0,F,,1847.2564803108000,835.6636458548850,0.7853981278671980,6603.854607853490,0.6666666666666670,0.3333333333333330,0.0,0.661320892258347,0.4523809523809520,14.0000002,12.0000002,14.0000002
55611_69142616,1,0,F,,11595.227635548100,4874.410689190010,0.1191163757378610,3309.7479813391000,0.6111111111111110,0.3888888888888890,0.0,0.1312939091128700,0.4203807671913470,73.08889765545020,95.0000002,14.019508557296200
107743_e0c2c81f,2,0,F,,2826833044203.3800,3553355473.176780,0.8315590739103110,512863.9472493890,1.0,0.0,0.0,0.0201435830928042,0.0012570093166496,53340.0000002,2133.6000002,29870.400000200000
41321_43c99300,2,0,F,,2853.342488811490,4804.8678583514400,0.3874110397925600,3130.4882725663000,0.5,0.5,0.0,0.0083007213537411,1.6839436125148800,8.2042002,109.4232002,8.2042002
138219_cdff4f61,2,0,F,,26733.41758014270,15147.704849981500,0.051163148228667,11782.289428688600,0.975609756097561,0.024390243902439,0.0,0.0232552404695174,0.5666205902994250,70.0330087889911,80.00000020000000,93.261940781426
41982_f75ceb8f,2,1,P,,72257.34952663080,12195.826092811500,0.7929475819218310,7800.314405780770,0.8333333333333330,0.1666666666666670,0.0,0.325523809377597,0.1687831919203830,90.00000020000000,22.5000002,45.0000002
27577_8520e14a,2,1,P,,9979721.976,755159.7800000000,0.999999992433058,13208.53234571570,1.0,0.0,0.0,0.0261560828679763,0.0756694206327657,2946.4000002,88.9000002,38.1000002
41941_79d46bb4,2,0,F,,1329.0755119689300,1267.0631174593600,0.8213557019047370,1109.4472775731500,0.75,0.0,0.25,0.0982102774396139,0.953341707110605,21.62025150458500,2.5400002,29.46618338171600
23881_bec7f38c,2,0,F,,22704.290107493500,15758.228750406400,0.2399827688252560,15724.448452611400,0.5,0.5,0.0,0.0148986194316691,0.6940639269406390,36.0000002,36.0000002,73.00000020000000
23881_bec7f38c,2,0,F,,22704.290107493500,15758.228750406400,0.2399827688252560,15724.448452611400,0.5,0.5,0.0,0.0148986194316691,0.6940639269406390,36.0000002,36.0000002,73.00000020000000
90114_99894f36,2,0,F,,319032.2888012030,75624.78486595380,0.2357654194958620,30285.34327443970,0.6363636363636360,0.1818181818181820,0.1818181818181820,0.0266151670318273,0.2370442977735010,135.317676446046,100.0000002,100.0000002
99094_559fbfc2,2,0,F,,10344.314721506500,8790.570124221110,0.6322654331764990,545.5904504698710,1.0,0.0,0.0,0.0178157740404501,0.8497972423388210,155.03174325165500,3.5000002,30.15182380965240
22645_1ba0af00,2,0,F,,1207168.5240152800,125778.97634595900,0.2710836318577110,29866.51406726670,0.8333333333333330,0.1666666666666670,0.0,0.0828254896093026,0.1041933862950580,205.0000002,144.816979971956,150.0000002
34526_3ea355a5,2,1,P,,1054.055016946910,757.2069688158550,0.7853981069758110,2201.284942660660,0.6666666666666670,0.3333333333333330,0.0,0.2894243896246530,0.7183751859643130,4.0000002,18.317099655858900,18.317099655858900
23364_73dd9d4d,2,0,F,,89989195.34055520,9197910.062522160,0.2296201624993340,58087.1744216172,0.912280701754386,0.0350877192982456,0.0175438596491228,0.0011769706534651,0.1022112713388930,715.0074365775940,1260.007436577590,435.0074365775940
41868_002280d0,2,0,F,,154.67564547074500,385.9162662462320,0.585892505336494,721.1248332286900,0.7142857142857140,0.2857142857142860,0.0,0.0470778905119652,2.495003431676140,22.00000052782550,4.000000259604650,3.0000002
